,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
71,Republican,"“Our Father in heaven,hallowed be your name,your kingdom come,your will be done,on earth as in heaven. Give us today our daily bread;&amp; forgive us our debts,as we forgive our debtors;do not subject us to the final test,but deliver us from the evil one”

Mt 6:9-13",Marco Rubio,45,0.083,0.775,0.142,0.2732
72,Republican,"Now imagine if image was of a fake tweet from leader in a part of world with tensions running high. Or if it was a deep fake video that exacerbated bilateral tensions between two nations on the brink of war. 

Information warfare is a powerful weapon we should not take lightly.",Marco Rubio,51,0.323,0.632,0.045,-0.9442
73,Republican,"Want to know what a #Putin disinformation campaign looks like?

The image below is a fake. No such tweet exists.

But #Russia created this realistic looking image &amp; then had it posted online in blogs &amp; fringe news sites.

And this is minor compared to what lies ahead for us. https://t.co/pDdJwx0ESw",Marco Rubio,51,0.142,0.756,0.102,-0.5106
74,Republican,"These attacks will continue because in #Iran’s view

While EU nations know Iran’s role they are desperate to save the  JCPOA 

Many in U.S. media will be skeptical of any claims from Trump administration

And many U.S. politicians will blame U.S. policy for provoking the attacks",Marco Rubio,46,0.257,0.687,0.056,-0.8555
75,Republican,"These attacks exactly the capability #Iran’s #IRGC has been building for years”

-Attacks they direct but proxies conduct to provide deniability; &amp;

-Which everyone knows was them but reluctant to admit because then something has to be done about it https://t.co/wTcl7gSzt5",Marco Rubio,41,0.14,0.811,0.048,-0.4939
76,Republican,"The stock market is important but it’s not THE economy

The “financialization” of our economic policies has created incentives to prioritize the short term value of shares instead of long term investments needed for the creation of stable &amp; dignified jobs

https://t.co/YNcuy7pS30",Marco Rubio,42,0.0,0.602,0.398,0.9661
77,Republican,"#IRGC surrogate forces launched a rocket attack against an Exxon site in #Iraq

World must not allow #Iran the benefit of false deniability with these kinds of attacks

If not held directly accountable these attacks will become more frequent &amp; more lethal https://t.co/iyqUzvoa4N",Marco Rubio,43,0.207,0.705,0.088,-0.7241
78,Republican,"You mean days after Dems handed @politico a warped outline of Craft’s travel to get a story posted just before her hearing

Every trip authorized by state dept

She saved taxpayer $ by even paying official travel personally 

Many of trips involved negotiating or promoting USMCA https://t.co/hSZ6mGgX9H",Marco Rubio,47,0.0,0.888,0.112,0.6486
79,Republican,"#Florida is our nations gateway to the stars. 

Very happy @Boeing has chosen to move their Space &amp; Launch headquarters to the #SunshineState. 

#Sayfie",Marco Rubio,24,0.0,0.852,0.148,0.6115
80,Republican,"4/4: Reports of misappropriation of funds by 2 people associated with the opposition is evidence of the difference between #Maduro &amp; @jguaido

Unlike Maduro he didn’t excuse it or deny it,he immediately asked #Colombia to investigate it &amp; hold anyone responsible accountable.",Marco Rubio,42,0.055,0.864,0.082,0.0516
81,Republican,3/4: We are approaching the 3 month mark of Russia deploying personnel to #Venezuela. Expect #Putin to swap out many of the current personnel with new ones soon. Will be interesting to see which nations allow them overflight access to do this.,Marco Rubio,42,0.0,0.894,0.106,0.5574
82,Republican,2/4: Meanwhile the #MaduroRegime is desperately searching for foreign currency. They are increasingly struggling to maintain sufficient reserves &amp; pay bills. Expect them to target some of the $4 billion in remittances as a way to move currency into formal channels.,Marco Rubio,41,0.155,0.845,0.0,-0.7003
83,Republican,"1/4: UPDATE on #Venezuela

It isn’t accurate to say @jguaido has lost “momentum”. 

What is accurate is that most Venezuelans are understandably more focused on day to day survival than on politics right now. Hunger &amp; disease are hard to ignore.",Marco Rubio,41,0.174,0.764,0.061,-0.5118
84,Republican,"Also this morning we will be taking up a border humanitarian funding bill in the appropriations committee. 

After months of denial,the democrats finally acknowledge we have a humanitarian disaster on our southern border. 

We need to approve these funds without delay.",Marco Rubio,41,0.095,0.859,0.046,-0.4833
85,Republican,"This morning we will be holding a hearing on the nomination of Amb. Kelly Craft to serve as U.S. ambassador to the U.N. 

With tensions running high with #Iran &amp; #China &amp; with the General Assembly just 3 months away, we need her in New York ASAP.",Marco Rubio,47,0.058,0.942,0.0,-0.4019
86,Republican,"When the official newspaper of the Central Committee of the Communist Party of #China attacks you, you know you are doing something right. 

See: America's most radical anti-China politician rears his ugly head - People's Daily Online https://t.co/VqZ3JP3qCQ",Marco Rubio,38,0.145,0.793,0.063,-0.5423
87,Republican,"Rely on the mighty LORD;
constantly seek his face. Recall the wondrous deeds he has done,his signs,and his words of judgment 

1 Chronicles 16:11-12",Marco Rubio,24,0.0,1.0,0.0,0.0
88,Republican,According to this report #China is killing prisoners to harvest organs for transplant.  https://t.co/LNN4syyiZo,Marco Rubio,14,0.391,0.609,0.0,-0.8271
89,Republican,"And so it begins...

#TrumpPence2020 https://t.co/ok3hxETYpS",Marco Rubio,6,0.0,1.0,0.0,0.0
90,Republican,"BREAKING 

In an unprecedented move a Republican Senator attended a rally in his home state in support of the re-election of a Republican President. https://t.co/0zC3nvJB0X",Marco Rubio,25,0.0,0.886,0.114,0.4019
91,Republican,"BTW, this is the same reporter who in 2015 after 3 weeks of meticulous investigative journalism uncovered that my wife had traffic tickets,I had a fishing boat &amp; my home has big windows. And in 2016 he broke the story that I had some boots with higher heel. https://t.co/0zC3nvJB0X",Marco Rubio,49,0.059,0.941,0.0,-0.4215
92,Republican,"As opposed to smiling &amp; chuckling at a rally for a radical liberal candidate for President who will undo policies to confront China,reduce regulations &amp; taxes,defend liberty in Venezuela &amp; protect the unborn? https://t.co/0zC3nvJB0X",Marco Rubio,34,0.042,0.673,0.284,0.8658
93,Republican,"It’s on! 

#TrumpPence2020 https://t.co/fxKBe1ttAm",Marco Rubio,4,0.0,1.0,0.0,0.0
94,Republican,"It’s official

#KeepAmericaGreat https://t.co/xP1FtwNmmW",Marco Rubio,4,0.0,1.0,0.0,0.0
95,Republican,Just arrived in #Orlando on AF1 with @SenRickScott @LindseyGrahamSC &amp; @mattgaetz for tonight’s campaign kickoff for #Trump2020 https://t.co/cMiHAQCWvB,Marco Rubio,18,0.0,1.0,0.0,0.0
96,Republican,"No better place to kickoff a campaign for President than the #SunshineState

The road to #Victory2020 runs through #Florida 

Let’s go! 

#Sayfie #FlPol https://t.co/FxvVcJUFuc",Marco Rubio,24,0.083,0.796,0.121,0.2481
97,Republican,"Blaming Trump for &amp; baseless doubts about #Iran role in tanker attacks increases the likelihood of an armed conflict

Tehran is likelier to overreach if it concludes that domestic U.S. political divisions constrain @potus from responding militarily

 https://t.co/YUOy4BF1b2",Marco Rubio,38,0.238,0.762,0.0,-0.8625
98,Republican,"#Putin isn’t going to save #Maduro

Public posturing aside, he knows Maduro is incompetent &amp; weak

He will support him to thwart a U.S. priority, but only to a point

Growing evidence of this documented here: 

https://t.co/lXuf2h3Vjx via @NYTimes",Marco Rubio,39,0.095,0.762,0.143,0.25
99,Republican,"Please consider following my official Senate twitter account @SenRubioPress updated throughout the delay with official releases on our work in D.C. and in #Florida. 

Thank You

#Sayfie",Marco Rubio,27,0.074,0.772,0.154,0.3612
100,Republican,"#Huawei is using the tactics of patent trolls to attack U.S. companies in retaliation for Trump administration national security actions against them. We should not allow #China government backed companies to improperly use our legal system against us.

https://t.co/jhz4cuLDVN",Marco Rubio,39,0.109,0.777,0.114,-0.194
101,Republican,"Under my LOAN ACT students would no longer be trapped with interest rates accruing faster than ability to repay:
- replaces interest with a one-time fee paid over life of the student loan;
- automatically enrolls borrower in income-based repayment plan

https://t.co/9Qs9DvsPuS",Marco Rubio,42,0.117,0.71,0.173,0.4019
102,Republican,"Whatever is, was long ago given its name, and human nature is known; mortals cannot contend in judgment with One who is stronger.

Ecclesiastes 6:10",Marco Rubio,25,0.043,0.86,0.097,0.351
103,Republican,"The skepticism in these stories on Pentagons claims that #Iran is responsible for tanker attacks is stunning. 

Is their theory that dozens of career military professionals are complicit in fabricating evidence of Iran’s role?

 https://t.co/4bRhqPwFfX",Marco Rubio,35,0.12,0.76,0.12,0.0
104,Republican,"This article proves our point.

The comments from several business owners a reminder of how much leverage #China already has over too much of our economy.

If things don’t change fast even more American businesses will be vulnerable to Beijing’s actions.

https://t.co/z5p86hru09",Marco Rubio,42,0.045,0.955,0.0,-0.2263
105,Republican,"Career military commanders,not politicians, have dictated the U.S. force posture in the Middle East based on their informed &amp; expert assessment. 

Those who continue to raise doubts about the threat are basically calling these military leaders liars.",Marco Rubio,37,0.209,0.791,0.0,-0.8402
106,Republican,"We have hundreds of Americans in the Middle East,including diplomats &amp; aid workers,facing the danger of potential attacks from #Iran &amp; it’s proxy forces. 

Sending another 1k troops is not a rush to war,it’s a prudent step to make sure we have sufficient presence to protect them.",Marco Rubio,47,0.121,0.785,0.094,-0.34
107,Republican,"#HongKong pro-democracy activist @joshuawongcf was released from prison. 

Joshua was unjustly imprisoned for defending liberty. He is an inspiration for Hong Kongers fighting against efforts by #China’s Communist Party to strip them of their freedom. 

https://t.co/GuTWSMf0By",Marco Rubio,36,0.171,0.563,0.266,0.7096
108,Republican,"They shall not hunger or thirst; nor shall scorching wind or sun strike them; For he who pities them leads them and guides them beside springs of water. I will turn all my mountains into roadway,
and make my highways level.

Isaiah 49:10-11",Marco Rubio,43,0.083,0.878,0.039,-0.2406
109,Republican,"For democrats to doubt whether #Iran was behind the Gulf attacks means they question the credibility &amp; professionalism of the military officers at U.S. Central Command who support this conclusion. 

Do they believe these career officers are lying? 

https://t.co/E8IAPzSkvP",Marco Rubio,39,0.189,0.753,0.058,-0.7269
110,Republican,"We are so often disappointed at the outcome when the voices of freedom confront authoritarianism. That is why news that #HongKong has indefinitely suspended #China extradition bill is so uplifting. 

 https://t.co/6Mt4sKvHQH",Marco Rubio,31,0.208,0.686,0.107,-0.4549
111,Republican,New Parents Act: Paid Family Leave Critical for Americans’ Health &amp; Prosperity | National Review https://t.co/1IJW43mbuc,Marco Rubio,16,0.212,0.788,0.0,-0.3612
112,Republican,"Indeed, I have singled him out that he may direct his children and his household in the future to keep the way of the LORD by doing what is right and just...

Genesis 18:19

#FathersDay2019",Marco Rubio,35,0.0,1.0,0.0,0.0
113,Republican,"So we are ambassadors for Christ, as if God were appealing through us.

2 Corinthians 5:20",Marco Rubio,16,0.0,0.87,0.13,0.2732
114,Republican,"Here is video of #IRGC navy returning to the scene of the crime to erase evidence by removing an unexploded Limpet mine from M/T Kokuka Courageous in the Gulf of Oman 

https://t.co/c21oDBJXA7",Marco Rubio,32,0.095,0.813,0.092,-0.0258
115,Republican,"Do everything without grumbling or questioning,that you may be blameless and innocent, children of God without blemish in the midst of a crooked and perverse generation,among whom you shine like lights in the world

Philippians 2:14-15",Marco Rubio,36,0.067,0.723,0.21,0.5994
