,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
1650,Republican,The Senate just passed once-in-a-generation #TaxReform. We are one step closer to delivering tax cuts and much-needed relief to families across America. https://t.co/wBrAMGPYnL,Senate of Republican,23,0.084,0.798,0.118,0.2263
1651,Republican,"“The proof is in the paycheck, and people are going to see it … If you’re living paycheck-to-paycheck, that’s a big deal.” – @SenRobPortman https://t.co/A18Xax9QGh",Senate of Republican,25,0.0,1.0,0.0,0.0
1652,Republican,"Here’s what the #TaxCutsAndJobsAct will deliver: more jobs, higher wages, and stronger economic growth. https://t.co/vAAiPP8X3t",Senate of Republican,15,0.0,0.714,0.286,0.6369
1653,Republican,"“The big picture here is economic growth, more jobs, higher wages, spurring the economy, and that's what tax reform is going to do.” – @SenCapito https://t.co/jVYP40MvXd",Senate of Republican,26,0.0,0.902,0.098,0.3818
1654,Republican,"Happy birthday, @SenRobPortman. https://t.co/xxdMfZCMJR",Senate of Republican,4,0.0,0.448,0.552,0.5719
1655,Republican,"If you make $75,000-100,000 a year, you can expect to see a 7.8 percent tax cut. #TaxReform https://t.co/Fvc4ADf5A3",Senate of Republican,18,0.123,0.877,0.0,-0.2732
1656,Republican,"Shot: ""I do remember the Reagan tax cuts”
Chaser: “This is a Reagan tax cut.” 
🇺🇸🇺🇸🇺🇸 Sen. @JimInhofe https://t.co/rhBTqpJ1hD",Senate of Republican,19,0.0,1.0,0.0,0.0
1657,Republican,"Tax reform will double the standard deduction, double the child tax credit, and lower tax rates. https://t.co/Vgscj7YTUf",Senate of Republican,17,0.111,0.758,0.131,0.1027
1658,Republican,"If you make $50,000-75,000 a year, you can expect to see a 8.4 percent tax cut. https://t.co/ifoIOtgziy",Senate of Republican,17,0.13,0.87,0.0,-0.2732
1659,Republican,"“This is going to be a bill that is good for American workers, good for American families, with better-paying jobs, higher wages, a faster-growing economy.” – @SenJohnThune #TaxReform https://t.co/ucS8y2cZfP",Senate of Republican,29,0.0,0.805,0.195,0.7003
1660,Republican,"If you make $40,000-50,000 a year, you can expect to see a 9.4 percent tax cut. #TaxReform https://t.co/z79nWz5yNO",Senate of Republican,18,0.123,0.877,0.0,-0.2732
1661,Republican,Senate Republicans are ready to pass historic tax reform tonight. https://t.co/5G7ME2LCUS,Senate of Republican,11,0.0,0.8,0.2,0.3612
1662,Republican,"If you make $30,000-40,000 a year, you can expect to see a 10.5 percent tax cut. https://t.co/Jn1wvxluvN",Senate of Republican,17,0.13,0.87,0.0,-0.2732
1663,Republican,".@SenJohnKennedy: We're going to pass #TaxReform, and the American people are going to be better off. https://t.co/cjbjI9Wkqh",Senate of Republican,17,0.0,0.847,0.153,0.4404
1664,Republican,"If you make $20,000-30,000 a year, you can expect to see a 16.3 percent tax cut. #TaxReform https://t.co/OAM6xz1BIL",Senate of Republican,18,0.123,0.877,0.0,-0.2732
1665,Republican,Members of the @SenateGOP leadership team brief the press on final passage of the #TaxCutsandJobsAct. #TaxReform https://t.co/cJICaiqb1H,Senate of Republican,17,0.0,1.0,0.0,0.0
1666,Republican,The Tax Cuts &amp; Jobs Act provides across-the-board tax cuts. #TaxReform https://t.co/OnYAv21Asu,Senate of Republican,12,0.306,0.694,0.0,-0.5267
1667,Republican,".@SenJohnKennedy: Some Democrats believe that it is possible to tax this country into prosperity. If they believe that, they were in the quad throwing the Frisbee during Economics 101. #TaxReform https://t.co/ZtL9x836Vz",Senate of Republican,31,0.0,1.0,0.0,0.0
