Political Affiliation,tweet,Politician,Word Count,created_time,number of retweets,number of likes
Democrats,"Wayfair workers couldn’t stomach they were making beds to cage children.

They asked the company to stop. CEO said no.

Tomorrow, they‘re walking out.

This is what solidarity looks like - a reminder that everyday people have real power, as long as we’re brave enough to use it. https://t.co/667abeLDTG",AOC,49,2019-06,53233,184249
Democrats,"It’s wild to think that Third Way has gotten along with its “sensible Dem” charade as long as it has.

I’ve met Trump voters, Ind. voters, but I can’t recall a single voter I’ve met in the US that IDs as a “Third Way Voter.” 

Just admit you’re a Wall St advocacy group &amp; move on. https://t.co/5VOFByEUhV",AOC,57,2019-06,7783,39081
Democrats,"Queens residents: Today is the day we vote for DA! 🌞🗳 

Communities win when we turn out in high numbers. Let’s get @CabanForQueens elected!

Have you voted yet? Check in here if you have &amp; tell us how it went! ⬇️ https://t.co/Y9sIrdKtJQ",AOC,42,2019-06,1963,8649
Democrats,"Reminder: Caging kids is a for-profit enterprise, &amp; the people who profit off camps finance the political campaigns of those who legislate more caging.

If you want to follow the money: GEO Group &amp; CoreCivic are big ones. Look at the lenders &amp; private equity grps they deal with. https://t.co/QjgZZVx4Nf",AOC,50,2019-06,30057,75402
Democrats,"I’ll never forget this, because it was the moment I saw with my own eyes that the America I love was becoming a nation that steals refugee children from their parents,&amp; caged them.

More kids died after this. To date, no one has been held accountable.

We need to save these kids. https://t.co/HhdMqc5zML",AOC,53,2019-06,58510,205861
Democrats,"Yes, the treatment is bad - but the one thing I’ve learned about the right is that they’re all bark.

They stomp, they whine, they burst w/ hyperbole - all bc they rely on Dems backing down when GOP creates controversy.

They don’t know what to do when we stick by our principles. https://t.co/NQZ014uVlA",AOC,54,2019-06,8038,46517
Democrats,"If you doubt it, here’s the original tweet. This is a deliberate, intentional, wild jump made by Republicans (frankly, often) for the explicit purpose of eliciting + manipulating pain for political purposes.

Meanwhile, kids are still dying.
https://t.co/LTS1RnoXGS",AOC,38,2019-06,3907,24749
Democrats,"Reminder: the member who directly + explicitly compared concentration camps on our border to the Holocaust was *Liz Cheney.*

The horrors of the Holocaust went beyond the use of concentration camps, yet camps were part of the process.

They have also been used before and after.",AOC,46,2019-06,9963,54753
Democrats,"The student loan crisis is keeping people from:
📈 Becoming teachers &amp; other public careers
📈 Buying homes &amp; large purchases
📈 Starting families
📈 Educating themselves further w/ other specialized degrees

As a result, it’s impacting the ENTIRE economy
https://t.co/E1ZijJiH2s",AOC,41,2019-06,5462,26772
Democrats,"Student loans are a scam.

That’s why I join @BernieSanders, @RepJayapal &amp; @IlhanMN to forgive ALL student loans AND make colleges tuition-free.

PS: for the cost of the GOP tax scam (~$2 TRILLION), we could’ve already forgiven every student loan in America w/ billions left over. https://t.co/GXRHHWoKai",AOC,47,2019-06,27042,104087
